-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.886,  0.445
-183.744, 80.057, 1.099,  0.478
-183.726, 80.015, 1.310,  0.511
-183.707, 79.966, 1.531,  0.544
-183.688, 79.910, 1.736,  0.577
-183.668, 79.848, 1.909,  0.610
-183.649, 79.783, 2.037,  0.643
-183.629, 79.715, 2.109,  0.676
-183.610, 79.646, 2.119,  0.709
-183.591, 79.579, 2.090,  0.742
-183.572, 79.514, 2.040,  0.775
-183.553, 79.451, 1.986,  0.808
-183.534, 79.389, 1.935,  0.841
-183.516, 79.329, 1.882,  0.874
-183.497, 79.271, 1.829,  0.907
-183.479, 79.215, 1.781,  0.940
-183.460, 79.160, 1.740,  0.973
-183.442, 79.106, 1.707,  1.006
-183.423, 79.053, 1.684,  1.039
-183.404, 79.000, 1.670,  1.072
-183.385, 78.948, 1.666,  1.105
-183.366, 78.895, 1.671,  1.138
-183.347, 78.842, 1.683,  1.171
-183.327, 78.789, 1.702,  1.204
-183.307, 78.734, 1.724,  1.237
-183.287, 78.679, 1.748,  1.270
-183.266, 78.623, 1.772,  1.303
-183.246, 78.567, 1.794,  1.336
-183.225, 78.510, 1.812,  1.369
-183.204, 78.453, 1.826,  1.402
-183.183, 78.395, 1.835,  1.435
-183.162, 78.337, 1.841,  1.468
-183.142, 78.279, 1.842,  1.501
-183.121, 78.221, 1.841,  1.534
-183.100, 78.163, 1.839,  1.567
-183.079, 78.106, 1.834,  1.600
-183.058, 78.048, 1.830,  1.633
-183.037, 77.991, 1.826,  1.666
-183.017, 77.934, 1.823,  1.699
-182.996, 77.877, 1.821,  1.732
